Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM154,Hannah Gadsby: Nanette,2018,18+,83,80,46,3,4,Jon Olb,Netflix,Movie
NM155,Ali Wong: Hard Knock Wife,2018,18+,74,80,74,0,0,Jay Karas,Netflix,Movie
NM156,Seven Pounds,2008,13+,76,80,23,5,6,Gabriele Muccino,Netflix,Movie
NM157,Uncut Gems,2019,18+,74,80,43,22,81,Benny Safdie,Netflix,Movie
NM158,The Kindergarten Teacher,2018,18+,67,80,39,2,12,Sara Colangelo,Netflix,Movie
NM159,Les Miserables,2012,13+,76,80,35,86,175,Tom Hooper,Netflix,Movie
NM160,The Sky Is Pink,2019,all,76,80,47,0,9,Shonali Bose,Netflix,Movie
NM161,Next Gen,2018,7+,66,80,36,1,5,Kevin R. Adams,Netflix,Movie
NM162,Tom Segura: Disgraceful,2018,13+,76,80,79,0,0,Jay Karas,Netflix,Movie
NM163,My Happy Family,2017,all,74,80,74,13,10,Nana Ekvtimishvili,Netflix,Movie
NM164,The American Meme,2018,all,66,80,43,0,0,Bert Marcus,Netflix,Movie
NM165,Badla,2019,7+,78,80,34,2,9,Sujoy Ghosh,Netflix,Movie
NM166,Okko'S Inn,2018,7+,71,80,38,0,0,Kitarô Kôsaka,Netflix,Movie
NM167,The Willoughbys,2020,7+,64,80,37,0,6,Kris Pearn,Netflix,Movie
NM168,Hunt For The Wilderpeople,2016,13+,79,80,43,22,25,Taika Waititi,Netflix,Movie
NM169,Stardust,2007,13+,76,79,36,5,11,Matthew Vaughn,Netflix,Movie
NM170,Wheelman,2017,18+,64,79,36,0,0,Jeremy Rush,Netflix,Movie
NM171,The Artist,2011,13+,79,79,44,161,204,Michel Hazanavicius,Netflix,Movie
NM172,On My Skin,2018,18+,73,79,48,14,13,Alessio Cremonini,Netflix,Movie
NM173,Gaga: Five Foot Two,2017,18+,70,79,34,4,1,Chris Moukarbel,Netflix,Movie
NM174,Hugo,2011,7+,75,79,42,61,191,Martin Scorsese,Netflix,Movie
NM175,The Impossible,2012,13+,76,79,38,28,69,J.A. Bayona,Netflix,Movie
NM176,War Dogs,2016,18+,71,79,86,0,0,Todd Phillips,Netflix,Movie
NM177,Ip Man,2008,18+,80,79,38,12,19,Wilson Yip,Netflix,Movie
NM178,The Speed Cubers,2020,all,74,79,75,0,1,Sue Kim,Netflix,Movie
NM179,Kung Fu Panda 2,2011,7+,72,79,37,5,47,Jennifer Yuh Nelson,Netflix,Movie
NM180,The Dirt,2019,18+,70,79,27,0,0,Jeff Tremaine,Netflix,Movie
NM181,Andhadhun,2018,all,82,79,44,27,25,Sriram Raghavan,Netflix,Movie
NM182,Atlantics,2019,13+,67,79,48,14,58,Mati Diop,Netflix,Movie
NM183,37 Seconds,2019,all,73,79,77,8,3,Hikari,Netflix,Movie
NM184,El Camino: A Breaking Bad Movie,2019,18+,73,79,39,4,22,Vince Gilligan,Netflix,Movie
NM185,Underworld,2003,18+,70,79,24,1,10,Len Wiseman,Netflix,Movie
NM186,The Ring,2002,13+,71,79,33,14,12,Gore Verbinski,Netflix,Movie
NM187,Hold The Dark,2018,all,56,79,31,1,0,Jeremy Saulnier,Netflix,Movie
NM188,The Karate Kid,1984,7+,73,79,37,2,3,John G. Avildsen,Netflix,Movie
